variant,metric,mean,ci_lo,ci_hi,std,sessions
hawkes+meta,acf_abs1_1s,0.13575120040284677,0.10808099764389309,0.1645108220084896,0.059718317162916694,16
hawkes+meta,acf_abs50_0.1s,0.002584126637670804,-0.004538996954273383,0.00954042725152541,0.015168600384710027,16
hawkes+meta,acf_abs50_1s,-0.012842379014121469,-0.03888875672263911,0.01607280329351282,0.05860872480297534,16
hawkes+meta,acf_ret1_0.1s,-0.06377812669575914,-0.07595992320995062,-0.049223021507865006,0.027496496484724874,16
hawkes+meta,acf_ret1_1s,-0.003982243990422752,-0.026273195392052806,0.019817815674411758,0.04720162312155577,16
hawkes+meta,arrival_cv,1.077694789895318,1.073399110862497,1.0820370450790338,0.008846981947788697,16
hawkes+meta,fano_0.1s,1.176068112850371,1.1658286056041804,1.1854862809536522,0.020795696024384722,16
hawkes+meta,fano_0.3s,1.4465815926408214,1.4295544700372187,1.4637824017761512,0.036249662431254624,16
hawkes+meta,fano_10s,4.110513720969491,3.7644136770835446,4.505597285087962,0.7802829355074317,16
hawkes+meta,fano_1s,2.0237640059663438,1.9602746823732737,2.0880354790992777,0.13445211008752128,16
hawkes+meta,fano_3s,2.8215747437376324,2.724426142811516,2.933411797901556,0.21976984702840152,16
hawkes+meta,hill1_0.1s,4.07707934687956,3.604336942503636,4.6418179638347965,1.078624963912725,16
hawkes+meta,hill1_1s,4.639907296816846,3.708193222352375,5.96666592680803,2.3865673502610893,16
hawkes+meta,hill5_0.1s,2.8419303814673835,2.6180577037805897,3.05921493700469,0.4623319049260566,16
hawkes+meta,hill5_1s,3.1466448400022426,2.9359307579863043,3.3490389054473355,0.4378262997964624,16
hawkes+meta,kurt_0.1s,16.728578418092972,14.604384797608516,19.06393043100092,4.768963274477487,16
hawkes+meta,kurt_1s,5.112765210563084,4.249497335614258,6.038304416530555,1.813882137983211,16
hawkes+meta,n_aggressive,13183.5625,13037.30625,13336.9390625,314.04139191089655,16
hawkes+meta,sign_acf1,0.04665784941397555,0.041860092571695096,0.05197870702294254,0.010745307791322592,16
hawkes+meta,sign_acf10,0.037773243065764704,0.0325271109094617,0.04284804001781,0.010636363452257396,16
hawkes+meta,sign_gamma,0.4076232409161852,0.3624735227686802,0.45256660678534655,0.09511484482714197,16
