window,latency_ms,arm,n_fills,pnl_gross_usd,notional_usd,killed,pnl_edge_usd,pnl_inventory_usd,inv_abs_mean_btc,inv_max_abs_btc,eff_half_spread_ticks,postfill_500ms_ticks,postfill_100ms_ticks,fill_rate_orders,quote_lifetime_s,sharpe_1s,max_drawdown_usd,touch_fidelity,pnl_net_A_0bps_usd,pnl_net_A_0bps_bps,pnl_net_B_1/2.5bps_usd,pnl_net_B_1/2.5bps_bps,pnl_gross_bps
5,0.0,AS_scaled,15,-0.17066639600011513,1132.7888213760002,0.0,0.019520544,-0.19018694000011513,0.004496160474074074,0.00997896,13.964231960031361,-33.1276232280513,-26.188623474135415,0.033734939759036145,1.304110176755448,-0.0631252640762932,0.3399624280000779,nan,-0.17066639600011513,-1.506603815111862,-0.28394527813771514,-2.5066038151118617,-1.506603815111862
5,0.0,adaptive_off,16,-0.2205613760000915,1134.544361376,0.0,0.020977908,-0.2415392840000915,0.005043336444444445,0.01,14.98422,-32.68948857142857,-25.760917142857142,0.10714285714285714,3.8325277028985516,-0.07636576686761219,0.39076137599992933,nan,-0.2205613760000915,-1.9440524628987612,-0.33401581213769155,-2.944052462898761,-1.9440524628987612
5,0.0,adaptive_inventory,14,-0.1770559564999985,919.263513212,0.0,0.015534338500000001,-0.1925902949999985,0.003106006859259259,0.00608706,13.694351709905401,-35.96587858715171,-26.37357507883293,0.09558823529411764,4.001473902985075,-0.1118420536178752,0.2577088900000142,nan,-0.1770559564999985,-1.9260631359265747,-0.2689823078211985,-2.9260631359265745,-1.9260631359265747
5,0.0,adaptive_full,11,-0.11103728499999477,904.228146871,0.0,0.007590332000000001,-0.11862761699999477,0.0016771960407407408,0.00301245,6.802457739675325,-33.793728748850626,-24.98702301980065,0.06358381502890173,3.1134502923976615,-0.15825104249489705,0.13617542849999253,nan,-0.11103728499999477,-1.2279786399508716,-0.20146009968709477,-2.2279786399508716,-1.2279786399508716
5,10.0,AS_scaled,15,-0.17386639599999398,1132.7920213760003,0.0,0.015870544,-0.18973693999999397,0.004210234548148148,0.00897896,11.353165042320745,-33.23492734795722,-26.29592759404133,0.03349282296650718,1.2943475913461537,-0.07068523422767897,0.32221242799995764,nan,-0.17386639599999398,-1.534848345672481,-0.287145598137594,-2.534848345672481,-1.534848345672481
5,10.0,adaptive_off,15,-0.1741642919998867,1132.7933192720002,0.0,0.015721596,-0.1898858879998867,0.004210234548148148,0.00897896,11.24661348197577,-33.34147890830219,-26.402479154386306,0.10071942446043165,3.9113036350364965,-0.0706207143715132,0.32251032399996404,nan,-0.1741642919998867,-1.537476334269123,-0.2874436239270867,-2.537476334269123,-1.537476334269123
5,10.0,adaptive_inventory,14,-0.17875038049999148,936.6686348080001,0.0,0.013252363500000001,-0.19200274399999148,0.0030061901074074074,0.00565229,11.465579116122575,-36.48368501149382,-27.220516871294357,0.09420289855072464,3.9400632205882355,-0.11908101568696375,0.24989509850000147,nan,-0.17875038049999148,-1.9083630417135942,-0.2724172439807915,-2.9083630417135944,-1.9083630417135942
5,10.0,adaptive_full,12,-0.12015065450003704,964.402369443,0.0,0.009093179,-0.12924383350003704,0.00195735387037037,0.00354921,7.6408453248744825,-29.89532046299603,-21.639783627082327,0.06936416184971098,3.1097512222222226,-0.13745152478976885,0.15781615650004355,nan,-0.12015065450003704,-1.24585606907448,-0.21659089144433702,-2.2458560690744798,-1.24585606907448
6,0.0,AS_scaled,38,-0.1284757000000809,2178.6719746000003,0.0,0.03745475,-0.16593045000008091,0.002011390596075528,0.004906,13.920593919571843,-47.73989073069204,-43.661989890730695,0.0673469387755102,1.1065573770491803,-0.08837453158727156,0.1284757000000809,nan,-0.1284757000000809,-0.5896973087179348,-0.34634289746008096,-1.589697308717935,-0.5896973087179348
6,0.0,adaptive_off,36,-0.20692079999992075,2016.7249197000003,0.0,0.0319322,-0.23885299999992074,0.00287723880044428,0.006906,12.821087288203646,-48.4106239460371,-44.00323215289488,0.21232876712328766,3.6166666666666663,-0.10278290816898292,0.20692079999992075,nan,-0.20692079999992075,-1.0260239161952807,-0.4085932919699208,-2.026023916195281,-1.0260239161952807
6,0.0,adaptive_inventory,37,-0.10115825150006685,2114.27280637,0.0,0.03430156,-0.13545981150006686,0.0012367664531654943,0.00392072,13.136979528308137,-46.878041713949344,-43.153962036238795,0.21768707482993196,3.5917241379310343,-0.08872645177062215,0.10115825150006685,nan,-0.10115825150006685,-0.4784541105352705,-0.31258553213706686,-1.4784541105352704,-0.4784541105352705
6,0.0,adaptive_full,25,-0.00780946499999402,1275.793365042,0.0,0.01858291,-0.02639237499999402,0.0007823139800074046,0.0019,11.794584226674436,-46.94474169589463,-42.64446357008935,0.08791208791208792,2.8966666666666674,-0.011377096341849068,0.0443649999999991,nan,-0.00780946499999402,-0.06121261650970357,-0.13538880150419402,-1.0612126165097036,-0.06121261650970357
6,10.0,AS_scaled,39,-0.3550481499999023,2113.5057487999998,0.0,0.03207675,-0.3871248999999023,0.004116600148093299,0.008101,12.289471667752194,-46.573119803838935,-43.96053791042489,0.0421875,0.8438256661442006,-0.11830538460239358,0.3550481499999023,nan,-0.3550481499999023,-1.6799015105659898,-0.5663987248799023,-2.6799015105659896,-1.6799015105659898
6,10.0,adaptive_off,39,-0.393950200000063,2105.3390502,0.0,0.029566150000000003,-0.423516350000063,0.0049715438726397635,0.01,11.371596153846154,-46.44305769230769,-42.27603846153846,0.1956521739130435,3.7967415693430655,-0.11388949812279321,0.393950200000063,nan,-0.393950200000063,-1.871195995545891,-0.604484105020063,-2.8711959955458908,-1.871195995545891
