env,scope,group,horizon,metric,mean,ci_lo,ci_hi,sessions,mean_fills
informed,mm_by_obi,book_leans_against(s*OBI<=-.5),500ms,M,-1.9971004596708788,-2.1225823978466547,-1.8815307898680578,24,188.25
informed,mm_by_obi,book_leans_against(s*OBI<=-.5),500ms,R,-0.08294691181181198,-0.21692623082923992,0.04199709079738536,24,188.25
informed,mm_by_obi,book_leans_with(s*OBI>=.5),100ms,E,1.4512285034764798,1.408853560333135,1.495289706359362,24,75.0
informed,mm_by_obi,book_leans_with(s*OBI>=.5),100ms,M,-0.9616930690706381,-1.0970060518703235,-0.8221701997117039,24,75.0
informed,mm_by_obi,book_leans_with(s*OBI>=.5),100ms,R,0.48954433550194815,0.348894182301473,0.644708300655199,24,75.0
informed,mm_by_obi,book_leans_with(s*OBI>=.5),1s,E,1.4512285034764798,1.408853560333135,1.495289706359362,24,75.0
informed,mm_by_obi,book_leans_with(s*OBI>=.5),1s,M,-1.0450122395774166,-1.272441109810197,-0.8144661424957648,24,75.0
informed,mm_by_obi,book_leans_with(s*OBI>=.5),1s,R,0.4042220318349212,0.16929472923683705,0.6409758462469963,24,75.0
informed,mm_by_obi,book_leans_with(s*OBI>=.5),500ms,E,1.4512285034764798,1.408853560333135,1.495289706359362,24,75.0
informed,mm_by_obi,book_leans_with(s*OBI>=.5),500ms,M,-1.0312091814665216,-1.22728097748225,-0.8318656883205826,24,75.0
informed,mm_by_obi,book_leans_with(s*OBI>=.5),500ms,R,0.41944922339023627,0.22015253719045091,0.6254732780934988,24,75.0
informed,mm_by_obi,neutral,100ms,E,1.6865036931894508,1.6664863670248986,1.7071654411101138,24,365.7083333333333
informed,mm_by_obi,neutral,100ms,M,-1.4672384882100953,-1.5796454401787041,-1.3602829958182843,24,365.7083333333333
informed,mm_by_obi,neutral,100ms,R,0.2189653534951186,0.10871713194778333,0.3257880797498469,24,365.7083333333333
informed,mm_by_obi,neutral,1s,E,1.6865036931894508,1.6664863670248986,1.7071654411101138,24,365.7083333333333
informed,mm_by_obi,neutral,1s,M,-1.5868635722158622,-1.7114023560689502,-1.4589951042313276,24,365.7083333333333
informed,mm_by_obi,neutral,1s,R,0.09856324160222163,-0.025423695132133623,0.22728251257526755,24,365.7083333333333
informed,mm_by_obi,neutral,500ms,E,1.6865036931894508,1.6664863670248986,1.7071654411101138,24,365.7083333333333
informed,mm_by_obi,neutral,500ms,M,-1.5803532416689041,-1.7292126980715228,-1.4428617562492831,24,365.7083333333333
informed,mm_by_obi,neutral,500ms,R,0.10535402294504308,-0.045098026528926076,0.24551186444409331,24,365.7083333333333
informed,mm_by_taker,taker_informed,100ms,E,1.763132675594066,1.742576344496711,1.783726680819511,24,214.95833333333334
informed,mm_by_taker,taker_informed,100ms,M,-1.9365442050298656,-2.0549673055803486,-1.8239932131983485,24,214.95833333333334
informed,mm_by_taker,taker_informed,100ms,R,-0.17370564385078935,-0.3027877267294961,-0.04985360264453939,24,214.95833333333334
informed,mm_by_taker,taker_informed,1s,E,1.763132675594066,1.742576344496711,1.783726680819511,24,214.95833333333334
informed,mm_by_taker,taker_informed,1s,M,-3.3504093078816553,-3.5467078065337447,-3.1611434205400166,24,214.95833333333334
informed,mm_by_taker,taker_informed,1s,R,-1.5876232048844232,-1.7907992450462304,-1.3869812121050928,24,214.95833333333334
informed,mm_by_taker,taker_informed,500ms,E,1.763132675594066,1.742576344496711,1.783726680819511,24,214.95833333333334
informed,mm_by_taker,taker_informed,500ms,M,-2.9580169850098392,-3.1401305284329393,-2.7730178078790773,24,214.95833333333334
informed,mm_by_taker,taker_informed,500ms,R,-1.1959661961131378,-1.385155557713248,-0.9977005783641504,24,214.95833333333334
informed,mm_by_taker,taker_noise,100ms,E,1.7071029789574197,1.6867006895169674,1.728789304563178,24,414.0
informed,mm_by_taker,taker_noise,100ms,M,-1.264709125601851,-1.3342871977128272,-1.1940410352253081,24,414.0
informed,mm_by_taker,taker_noise,100ms,R,0.4423440782093841,0.36745121268713893,0.5197816124212162,24,414.0
informed,mm_by_taker,taker_noise,1s,E,1.7071029789574197,1.6867006895169674,1.728789304563178,24,414.0
informed,mm_by_taker,taker_noise,1s,M,-0.7722810647771349,-0.8491638253189079,-0.6913285666202718,24,414.0
informed,mm_by_taker,taker_noise,1s,R,0.9327803655693728,0.8549302311368393,1.0137918990853234,24,414.0
informed,mm_by_taker,taker_noise,500ms,E,1.7071029789574197,1.6867006895169674,1.728789304563178,24,414.0
informed,mm_by_taker,taker_noise,500ms,M,-0.9602735856194261,-1.0437348788314826,-0.8860469233898852,24,414.0
informed,mm_by_taker,taker_noise,500ms,R,0.746256707588744,0.667865659055019,0.8193135866166658,24,414.0
